player;nationality;position;team;age;matches;minutes;goals;assists;xg
Jefté;BRA;Defensor;Palmeiras;21;12;765;0;3;0.2
Jemerson;BRA;Defensor;Grêmio;32;9;770;1;0;0.9
Jemmes;BRA;Defensor;Mirassol;24;37;3273;2;0;2.2
Caíque de Jesus Gonçalves;BRA;Meio-Campista;Juventude;29;28;2049;0;1;0.2
Igor Jesus;BRA;Atacante;Botafogo (RJ);23;10;875;3;1;2.6
Maykon Jesus;BRA;Defensor;Vitória;19;9;766;0;0;0.1
Jhon Jhon;BRA;Meio-Campista;RB Bragantino;22;34;2844;10;7;6.9
John;BRA;Goleiro;Botafogo (RJ);28;17;1530;0;0;0.0
Felipe Jonatan;BRA;Defensor;Mirassol;26;7;440;0;1;0.2
Jonathan;BRA;Defensor;Cruzeiro;20;13;798;0;1;0.0
Kaio Jorge;BRA;Atacante;Cruzeiro;23;33;2588;21;8;17.5
Jorginho;ITA;Meio-Campista;Flamengo;33;18;1357;3;1;2.9
José;BRA;Defensor;Cruzeiro;19;1;1;0;0;0.0
Willian José;BRA;Atacante;Bahia;33;33;2115;11;6;10.6
Joshua;BRA;Meio-Campista;Flamengo;17;1;28;0;0;0.0
Luciano Juba;BRA;Defensor;Bahia;25;35;2877;6;4;2.7
Juninho;BRA;Defensor;Internacional;29;20;1505;0;0;1.1
Juninho;BRA;Atacante;Flamengo;28;15;378;1;0;2.5
Kauê Junior;BRA;Atacante;Bahia;15;1;4;0;0;0.1
Robinho Junior;BRA;Atacante;Santos;17;15;352;0;1;1.0
Wanderson Junior;BRA;Defensor;Flamengo;17;1;22;0;0;0.0
José Kadir;PAN;Atacante;Botafogo (RJ);17;6;174;2;0;0.6
Kaiki;BRA;Defensor;Cruzeiro;21;34;2993;1;5;3.4
Lucas Kal;BRA;Meio-Campista;Sport Recife;28;13;861;0;0;0.1
Walter Kannemann;ARG;Defensor;Grêmio;33;20;1723;0;0;0.4
Kanu;BRA;Defensor;Bahia;27;7;513;0;0;0.1
